ServiceDate,Route,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount
1/2/2018,647,647  NORTH STAR / HARRY WURZBACH,128.12,308,0,0,180,86,9.08,32
1/2/2018,648,648  NORTH STAR / STONE OAK PKWY.,77.81,210,0,0,130,43,3.1,18
1/2/2018,651,651  DECO DISTRICT / CASTLE HILLS,121.15,306,0,0,125,63,6.05,29
1/2/2018,660,660-UNIV P&R / NW VISTA,55.24,103,0,0,36,32,1.83,11
1/3/2018,2,2-BLANCO RD.,1024.45,2524,0,0,1470,580,48.48,256
1/3/2018,3,3-SAN PEDRO SKIP,366.18,1590,0,0,1062,214,21.23,93
1/3/2018,4,4-SAN PEDRO,593.17,2155,0,0,1333,324,37.96,195
1/3/2018,5,5-MC CULLOUGH,367.67,1023,0,0,616,196,18.59,111
1/3/2018,6,6-US 281 Express,73.05,218,0,0,131,53,2.75,9
1/3/2018,8,8-N.ST.MARYS,372.5,955,0,0,532,223,13.12,84
1/3/2018,9,9-BROADWAY,268.01,816,0,0,457,150,16.87,56
1/3/2018,10,10-NACO/BROADWAY /NACO PASS        ,359.63,1038,0,0,614,195,22.37,98
1/3/2018,11,11 VIVA Culture,97.9,245,0,0,131,51,7.7,25
1/3/2018,14,14 Perrin Beitel ,786.14,2303,0,0,1386,436,27.25,187
1/3/2018,17,17-IH 35 Express,152.79,697,0,0,391,96,8.21,19
1/3/2018,20,20-NEW BRAUNFELS,1039.44,3018,2,0,1863,580,50.01,277
1/3/2018,21,21 KIRBY / CONVERSE,517.65,1183,0,0,660,293,22.55,113
1/3/2018,22,22-HAYS                             ,223.63,720,0,0,443,126,7.48,60
1/3/2018,24,24-E.HOUSTON,530.82,1403,0,0,873,284,29.37,108
1/3/2018,25,25-EAST COMMERCE,494.78,1227,0,0,666,284,33.31,130
1/3/2018,26,26-M.L. KING,353.09,971,0,0,556,180,17.68,86
1/3/2018,28,28-PORTER,623.65,1433,0,0,807,364,37.48,161
1/3/2018,30,30-RIGSBY,473.24,992,0,0,520,273,23.82,119
1/3/2018,32,32-STEVES AVE.                      ,410.8,982,0,0,561,222,77.71,196
1/3/2018,34,34-S. ST.MARYS                      ,645.64,1826,0,0,1049,345,26.95,176
1/3/2018,36,36-S. PRESA ST.,276.46,682,0,0,413,162,12.81,64
1/3/2018,40,40-VIVA Mission,59.8,145,0,0,107,24,1.55,6
1/3/2018,42,42-ROOSEVELT,522.16,1060,0,0,580,302,28.56,146
1/3/2018,43,43-S. FLORES,281.66,746,0,0,406,163,10.44,75
1/3/2018,44,44-PLEASANTON RD.,443.45,1055,0,0,596,260,19,125
1/3/2018,46,46-COMMERCIAL,197.68,393,0,0,184,96,10.5,46
1/3/2018,48,48 IH-35 S EXPRESS,6.3,15,0,0,5,6,0,0
1/3/2018,51,51-NOGALITOS                        ,419.85,1063,1,0,640,242,18.12,98
1/3/2018,54,54-SOUTH ALAMO                      ,29.1,65,0,0,31,15,0.17,4
1/3/2018,62,62-KIRK                             ,131.75,363,0,0,212,72,6.16,31
1/3/2018,64,64-KLAC/SEA WORLD/N.W. VISTA  EXPRESS  ,212.87,700,0,0,476,141,13.05,33
1/3/2018,66,66-CERALVO,321.88,782,0,0,446,171,18.08,99
1/3/2018,67,67-LAREDO,191.51,496,0,0,271,112,14.85,52
1/3/2018,68,68-GUADALUPE,654.18,1944,0,0,1152,373,24.48,151
1/3/2018,70,70   CESAR CHAVEZ,66.35,275,0,0,151,38,9.27,18
1/3/2018,75,75-WEST COMMERCE,685.73,2207,0,0,1358,384,41.83,210
1/3/2018,76,76-OLD HWY. 90 W.,602.63,2009,1,0,1340,348,31.25,182
1/3/2018,77,77-MARTIN ST.,208.25,596,0,0,354,112,9.27,54
1/3/2018,79,79-RUIZ                             ,373.51,928,0,0,556,200,15.87,94
1/3/2018,82,82-CULEBRA,559.52,1498,1,0,886,295,32.32,151
1/3/2018,88,88-BANDERA                          ,670.66,1647,0,0,993,350,35.66,185
1/3/2018,89,89-W.POPLAR                         ,322.15,850,0,0,461,165,12.98,83
1/3/2018,90,90-WOODLAWN                         ,336.62,941,0,0,597,203,17.82,101
1/3/2018,93,93-IH 10 Crossroads/UTSA Express,52.06,309,0,0,154,29,2.01,5
1/3/2018,94,94-IH 10/ FIESTA TEXAS/EXPRESS          ,56.95,300,0,0,135,29,2.65,7
1/3/2018,95,95-Fredericksburg Rd.,174.65,653,0,0,457,113,9.91,43
1/3/2018,96,96 - Vance Jackson,751.63,2258,1,0,1326,361,90.07,243
1/3/2018,97,97-WEST AVENUE,510.44,1583,0,0,956,293,26.04,144
1/3/2018,100,100 - PRIMO FREDRICKSBURG RD.,904.78,3511,0,0,2301,543,39.12,213
1/3/2018,101,101 - PRIMO LEON VALLEY/UTSA,170.64,610,0,0,330,101,9.78,46
1/3/2018,301,301  VIVA CENTRO,98.42,200,0,0,108,51,5.71,19
